cathode material,Average Atomic Radius,Average Electronegativity,Thermal Conductivity (W/m K),Average Boiling Point,Fusion Heat (KJ/mol),Average Density,Specific Discharge Capacity at 25 Cycle(mAh g-1),Estimated Theoretical Capacity,Capacity Retention after 50 Cycles
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,35,180,5.142857143
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,144,180,1.25
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,157,180,1.146496815
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,133,274,2.060150376
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,123,274,2.227642276
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,159,274,1.72327044
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,119,274,2.302521008
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,145,274,1.889655172
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,126,274,2.174603175
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,150,274,1.826666667
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,139,274,1.971223022
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,147,274,1.863945578
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,120,274,2.283333333
 LiCoO2,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,187,273,1.459893048
 LiCoO2  00642,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,172,273,1.587209302
 LiCoO2  00642,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,183,273,1.491803279
 LiCoO2  00642,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,170,273,1.605882353
 LiCoO2  00642,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,181,273,1.508287293
 LiCoO2  00642,119.060864,2.326217586,66.24982692,2069.992266,10.0398635,5.864051679,141,273,1.936170213
0.5Li2MnO3. 0.5LiMn1/3Ni1/3Co1/3O2,115.2825886,2.25884489,13.77985139,1325.181801,6.655398048,4.144789659,237,250,1.054852321
